Fri Oct 17 11:15:34 2025    profiling\profile.bin

         8254009 function calls (8246265 primitive calls) in 19.679 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      391    0.000    0.000    0.030    0.000 <frozen importlib._bootstrap_external>:164(_path_isfile)
     2403    0.020    0.000    0.029    0.000 <frozen importlib._bootstrap_external>:101(_path_join)
        1    0.000    0.000    0.026    0.026 multiarray.py:1(<module>)
       61    0.024    0.000    0.025    0.000 {built-in method _io.open}
     1716    0.025    0.000    0.025    0.000 {method 'render' of 'pygame.font.Font' objects}
      269    0.024    0.000    0.024    0.000 {method 'read' of '_io.BufferedReader' objects}
       80    0.003    0.000    0.024    0.000 typing.py:3142(__new__)
      849    0.004    0.000    0.023    0.000 sysfont.py:95(_parse_font_entry_win)
     1309    0.005    0.000    0.023    0.000 typing.py:173(_type_check)
      143    0.002    0.000    0.022    0.000 {built-in method strptime}
       93    0.022    0.000    0.022    0.000 {built-in method builtins.print}
      188    0.022    0.000    0.022    0.000 {built-in method nt.listdir}
        1    0.000    0.000    0.021    0.021 parser.py:1(<module>)
        1    0.000    0.000    0.020    0.020 feedparser.py:1(<module>)
        1    0.000    0.000    0.020    0.020 _loader.py:22(get_plugins)
      143    0.019    0.000    0.019    0.000 {method 'fill' of 'pygame.surface.Surface' objects}
      266    0.000    0.000    0.019    0.000 <frozen importlib._bootstrap_external>:1233(path_stats)
       77    0.000    0.000    0.019    0.000 _compiler.py:576(_code)
       51    0.001    0.000    0.019    0.000 dataclasses.py:470(add_fns_to_class)
        1    0.000    0.000    0.019    0.019 memmap.py:216(__new__)
     5808    0.006    0.000    0.018    0.000 {method 'join' of 'str' objects}
      5/4    0.000    0.000    0.018    0.004 _migration.py:249(getattr_migration)
        2    0.000    0.000    0.017    0.008 errors.py:1(<module>)
        1    0.000    0.000    0.016    0.016 _policybase.py:1(<module>)
   852/77    0.006    0.000    0.016    0.000 _compiler.py:37(_compile)
      657    0.004    0.000    0.016    0.000 <frozen importlib._bootstrap>:304(acquire)
      851    0.001    0.000    0.016    0.000 sysfont.py:42(_simplename)
      375    0.002    0.000    0.016    0.000 typing.py:1423(__init__)
     1716    0.016    0.000    0.016    0.000 {method 'blit' of 'pygame.surface.Surface' objects}
     8768    0.005    0.000    0.015    0.000 shape_base.py:216(_vhstack_dispatcher)
      532    0.003    0.000    0.015    0.000 <frozen importlib._bootstrap_external>:513(cache_from_source)
    55243    0.015    0.000    0.015    0.000 {method 'append' of 'list' objects}
     2290    0.007    0.000    0.014    0.000 memmap.py:359(__getitem__)
    52596    0.014    0.000    0.014    0.000 data.py:135(v_0)
    61362    0.014    0.000    0.014    0.000 data.py:123(r_0)
        1    0.000    0.000    0.014    0.014 _npyio_impl.py:1(<module>)
     1493    0.002    0.000    0.014    0.000 typing.py:164(_type_convert)
      333    0.000    0.000    0.013    0.000 <frozen importlib._bootstrap>:416(__enter__)
      143    0.001    0.000    0.013    0.000 _strptime.py:786(_strptime_datetime)
        1    0.000    0.000    0.013    0.013 _internal.py:1(<module>)
        1    0.000    0.000    0.013    0.013 tags.py:1(<module>)
      294    0.013    0.000    0.013    0.000 {method '__exit__' of '_io._IOBase' objects}
      326    0.002    0.000    0.013    0.000 <frozen importlib._bootstrap>:733(_init_module_attrs)
      271    0.013    0.000    0.013    0.000 {built-in method nt._path_isdir}
        1    0.000    0.000    0.012    0.012 _decorators.py:1(<module>)
      143    0.005    0.000    0.012    0.000 _strptime.py:516(_strptime)
55743/55740    0.012    0.000    0.012    0.000 {built-in method builtins.isinstance}
        1    0.000    0.000    0.012    0.012 specifiers.py:99(Specifier)
      124    0.000    0.000    0.012    0.000 typing.py:580(__getitem__)
      698    0.001    0.000    0.012    0.000 typing.py:1023(__init__)
        1    0.000    0.000    0.012    0.012 utilities.py:27(append_positions_npy)
        1    0.000    0.000    0.012    0.012 types.py:1(<module>)
       52    0.000    0.000    0.012    0.000 __init__.py:488(entry_points)
    11526    0.007    0.000    0.011    0.000 sysfont.py:45(<genexpr>)
        1    0.000    0.000    0.011    0.011 ssl.py:1(<module>)
     4293    0.009    0.000    0.011    0.000 memmap.py:312(__array_finalize__)
      699    0.011    0.000    0.011    0.000 {built-in method builtins.compile}
      136    0.001    0.000    0.011    0.000 __init__.py:2927(from_location)
        1    0.000    0.000    0.010    0.010 _machar.py:1(<module>)
      848    0.001    0.000    0.010    0.000 __init__.py:2341(dist_factory)
     8768    0.007    0.000    0.010    0.000 shape_base.py:208(_arrays_for_stack_dispatcher)
  126/123    0.000    0.000    0.010    0.000 typing.py:574(__getitem__)
        1    0.000    0.000    0.010    0.010 _array_like.py:1(<module>)
        2    0.000    0.000    0.010    0.005 abc.py:1(<module>)
      122    0.001    0.000    0.010    0.000 typing.py:753(Union)
      574    0.000    0.000    0.010    0.000 <frozen importlib._bootstrap>:632(cached)
       71    0.001    0.000    0.009    0.000 typing.py:812(Literal)
32261/31316    0.009    0.000    0.009    0.000 {built-in method builtins.len}
      309    0.001    0.000    0.009    0.000 <frozen importlib._bootstrap_external>:642(_get_cached)
        1    0.001    0.001    0.009    0.009 shutil.py:1(<module>)
      657    0.001    0.000    0.009    0.000 <frozen importlib._bootstrap>:162(__enter__)
       52    0.000    0.000    0.009    0.000 __init__.py:907(read_text)
18808/18801    0.006    0.000    0.009    0.000 {built-in method builtins.getattr}
      265    0.001    0.000    0.009    0.000 overrides.py:144(decorator)
     2778    0.005    0.000    0.009    0.000 <frozen ntpath>:99(join)
       53    0.000    0.000    0.009    0.000 _local.py:539(read_text)
       53    0.000    0.000    0.008    0.000 _abc.py:628(read_text)
        1    0.000    0.000    0.008    0.008 socket.py:1(<module>)
        1    0.000    0.000    0.008    0.008 header.py:1(<module>)
        2    0.003    0.002    0.008    0.004 _common.py:1(<module>)
        1    0.000    0.000    0.008    0.008 format.py:1(<module>)
        1    0.000    0.000    0.008    0.008 _config.py:1(<module>)
     1430    0.003    0.000    0.008    0.000 memmap.py:342(__array_wrap__)
      324    0.001    0.000    0.008    0.000 <frozen importlib._bootstrap>:463(_lock_unlock_module)
      657    0.005    0.000    0.008    0.000 <frozen importlib._bootstrap>:124(setdefault)
        1    0.000    0.000    0.008    0.008 einsumfunc.py:1(<module>)
2251/2195    0.006    0.000    0.008    0.000 {built-in method __new__ of type object at 0x00007FF908CE98A0}
        1    0.000    0.000    0.008    0.008 plistlib.py:1(<module>)
        1    0.000    0.000    0.008    0.008 _char_codes.py:1(<module>)
      394    0.003    0.000    0.008    0.000 typing.py:260(_collect_type_parameters)
    12233    0.005    0.000    0.008    0.000 _parser.py:260(get)
        1    0.000    0.000    0.008    0.008 fromnumeric.py:1(<module>)
        1    0.000    0.000    0.008    0.008 _tzpath.py:1(<module>)
     1188    0.005    0.000    0.007    0.000 <frozen ntpath>:222(split)
      580    0.000    0.000    0.007    0.000 <frozen importlib._bootstrap_external>:1500(_path_importer_cache)
       19    0.003    0.000    0.007    0.000 enum.py:1753(convert_class)
    43831    0.007    0.000    0.007    0.000 multiarray.py:1106(copyto)
      845    0.007    0.000    0.007    0.000 {built-in method winreg.EnumValue}
      136    0.000    0.000    0.007    0.000 __init__.py:2908(__init__)
     1025    0.001    0.000    0.007    0.000 <frozen ntpath>:261(dirname)
       31    0.001    0.000    0.007    0.000 <frozen importlib._bootstrap_external>:1675(_fill_cache)
        1    0.000    0.000    0.007    0.007 numerictypes.py:1(<module>)
       31    0.000    0.000    0.007    0.000 <frozen importlib._bootstrap_external>:1487(_path_hooks)
        1    0.000    0.000    0.007    0.007 _format_impl.py:1(<module>)
    43830    0.007    0.000    0.007    0.000 numeric.py:92(_zeros_like_dispatcher)
       53    0.000    0.000    0.006    0.000 _local.py:529(open)
    89/34    0.000    0.000    0.006    0.000 typing.py:1452(__getitem__)
        1    0.000    0.000    0.006    0.006 json_schema.py:1(<module>)
        1    0.000    0.000    0.006    0.006 numeric.py:1(<module>)
        1    0.000    0.000    0.006    0.006 _common.py:33(wrapper)
        1    0.000    0.000    0.006    0.006 _common.py:51(files)
      2/1    0.000    0.000    0.006    0.006 <frozen runpy>:105(_get_module_details)
        1    0.000    0.000    0.006    0.006 _common.py:107(from_package)
    44259    0.006    0.000    0.006    0.000 multiarray.py:115(empty_like)
       31    0.002    0.000    0.006    0.000 __init__.py:358(namedtuple)
      136    0.000    0.000    0.006    0.000 __init__.py:1563(safe_version)
       43    0.000    0.000    0.006    0.000 <frozen importlib._bootstrap_external>:1326(exec_module)
       65    0.000    0.000    0.006    0.000 __init__.py:3685(<genexpr>)
       12    0.001    0.000    0.006    0.000 enum.py:898(_convert_)
       43    0.005    0.000    0.006    0.000 {built-in method _imp.exec_dynamic}
       64    0.000    0.000    0.005    0.000 __init__.py:3137(activate)
      342    0.004    0.000    0.005    0.000 _compiler.py:241(_optimize_charset)
